Source,NSSmodel,RA_ICRS,DE_ICRS,Per,Tperi,ecc,Vcm,K1,K2,omega,Flags,_RA.icrs,_DE.icrs
1049087857023628672,SB2,157.51348178874,61.81150045653,2.29914617847253488,-0.168892072672624,0.023336947179712,-66.040932590253802914,95.455562346673034,115.352120951779753,302.78619473321060696,8388608,157.51348178874,61.81150045653
1097717538333601408,SB2,124.97183794492,70.20975462070,44.95585014695248560,19.9985329064779,0.41309876999229,-40.698038464801797431,48.107491923257172,36.671755957592673,355.33606954177440684,8388608,124.97183794492,70.20975462070
1137428256197026688,SB2,126.46567331179,77.21854583412,2.73487989369922202,1.09921268651851,0.012462063146175,4.015634639697259090,121.302370614034913,109.838629244497042,307.79536487543930434,8388608,126.46567331179,77.21854583412
1149193614730258688,SB2,126.89264806373,83.88228456897,3.35436546157021853,0.190494760167363,0.6778572057689,-4.956531928230651474,285.931970707082144,186.131932860139557,43.59284859821361380,8388608,126.89264806373,83.88228456897
1150894589281265792,SB2,140.25240331584,85.58378660222,8.39750199317978563,3.6044747225586,0.12169036080451,27.613118712842766200,76.006351757671510,69.690904275552313,42.46625279908514017,8388608,140.25240331584,85.58378660222
1293062336106196992,SB2,222.12883705885,35.05528979090,3.56034853644554516,-1.42148665850992,0.04477520673822,-37.874720987546560025,90.701728474504350,73.330414997500966,259.68151547432876214,8388608,222.12883705885,35.05528979090
1320716707108474880,SB2,238.02722729259,29.06216283798,18.87999887294506962,2.72545377631061,0.47583055728478,0.172066731195107930,63.505725510223300,51.496425790563727,319.27106283713629864,8388608,238.02722729259,29.06216283798
1347743939869168640,SB2,260.42745255133,40.90664750818,1.87596976792670844,0.066106215067424,0.012882922177893,12.728152924177377869,117.452088146314992,123.391781183196130,281.40735950339137617,8388608,260.42745255133,40.90664750818
1348044175263408384,SB2,259.65180578745,41.88806828085,2.05980525604260434,-0.46828049572667,0.011586118965447,-6.446887954191228509,115.622542227206708,129.894743413723631,2.18548474543211846,8388608,259.65180578745,41.88806828085
1354723983279632000,SB2,255.34092977469,42.16376341610,0.37015010771042328,-0.0705496263120968,0.031001419286183,-27.572502634665561061,223.207866530700301,125.887090293551296,18.80904439773479098,8388608,255.34092977469,42.16376341610
1378476973492566400,SB2,240.56468078333,37.17812269309,5.29351812851604908,1.12193477569694,0.064631782690593,-38.349437272401104337,70.648690190790944,78.737918519790455,9.72208080181703416,8388608,240.56468078333,37.17812269309
1391620123173966720,SB2,227.79163946593,38.95119434772,6.02131513923263739,1.3044280020029,0.020597963382037,-39.914908280896121084,75.878655618642611,71.421552940835298,32.21856958175185781,8388608,227.79163946593,38.95119434772
